date,LA384104005.Q,LA154104005.Q,LA153165105.Q,LA153166000.Q,LA144104005.Q,LA104104005.Q,LA314104005.Q,LA214104005.Q,LA794104005.Q,LA264104005.Q
1945:Q4,352402,29442,18706,6800,55940,44653,254385,12635,5692,5520
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,343964,36067,23100,9777,63908,49889,231306,12683,5245,7823
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,356685,44913,28267,13298,72561,56780,224898,14313,5260,11904
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,369120,53423,33422,16332,79968,62811,220012,15717,7301,13116
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,384453,61273,37406,19374,82933,64394,223629,16618,8617,13469
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,411373,74845,45250,23947,92084,70439,223234,21210,11335,13614
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1962:Q4,842334,259752,168307,69344,232768,163466,266044,83770,46345,26268
1963:Q1,855287,265533,171943,71309,236659,165589,268037,85058,44018,27109
1963:Q2,871505,273049,175980,73129,241366,167940,270284,86806,47671,28392
1963:Q3,883320,280359,180606,75440,245710,170148,269330,87921,50338,28674
1963:Q4,900618,288211,185106,77870,252156,174184,271008,89243,54125,29353
1964:Q1,914262,295162,189423,80555,256242,176585,272343,90515,53177,29929
1964:Q2,930822,302632,193538,82769,262031,179976,273916,92243,57749,30755
1964:Q3,947190,309331,198039,85288,267787,183446,276082,93990,58175,31319
1964:Q4,965255,317130,202335,87352,274192,187925,278309,95624,61043,32937
1965:Q1,981834,323887,206582,90344,281383,193186,279189,97375,60637,34125
1965:Q2,998873,331139,210488,93294,288848,197972,279373,99513,66508,34535
1965:Q3,1013004,337893,215034,95625,296181,202867,277467,101463,65816,34675
1965:Q4,1034076,345863,219449,97489,303787,208193,281252,103174,70150,35305
1966:Q1,1053481,352486,224085,100006,313349,214562,282763,104883,70819,36010
1966:Q2,1073035,359683,227382,101373,323869,222357,282469,107014,77287,36598
1966:Q3,1086123,363413,230300,102281,331871,228547,282300,108539,76635,36568
1966:Q4,1102733,368393,232742,103422,338202,232924,286101,110037,81898,37277
1967:Q1,1119242,371781,234955,104389,346563,239687,289406,111492,80112,38650
1967:Q2,1131871,376524,237210,105421,355873,246045,285886,113588,79412,39594
1967:Q3,1154358,382310,241614,106874,364078,251640,292284,115686,81315,40500
1967:Q4,1190912,402322,245974,108567,370856,255245,300362,117372,85926,41452
1968:Q1,1204602,397674,250119,110508,380822,263575,306990,119116,85809,42391
1968:Q2,1227913,407896,253803,112911,390904,270242,308055,121058,91596,42715
1968:Q3,1252814,415114,258280,115599,401071,277803,313637,122992,94393,43302
1968:Q4,1279692,426692,262934,119324,412656,286074,314219,126125,99722,44127
1969:Q1,1298682,429581,265603,122479,423624,294256,315342,130135,98004,44892
1969:Q2,1316883,438271,269871,125419,437807,303762,307375,133430,107424,45858
1969:Q3,1339965,443623,274629,127326,450239,312057,309983,136120,111123,46453
1969:Q4,1364896,453272,278689,129231,460784,318879,312583,138257,124190,47121
1970:Q1,1379872,451262,277740,130530,473750,338845,314500,140360,128581,47790
1970:Q2,1403340,453909,278865,131338,488703,349440,317154,143574,133925,48343
1970:Q3,1430022,459355,281771,132924,501097,357036,323589,145981,134200,48693
1970:Q4,1456448,467163,286015,133660,511941,363384,327027,150317,141493,49993
1971:Q1,1482283,475671,291470,138226,522999,370450,328923,154690,139567,51254
1971:Q2,1521216,485236,295430,141017,537847,378234,339263,158870,139600,52322
1971:Q3,1558007,496024,302126,144770,551889,386805,347468,162626,142548,53265
1971:Q4,1596200,511310,309454,149243,563398,392236,354745,166747,153065,54179
1972:Q1,1631393,524678,317906,153380,579276,403333,356270,171169,154498,55548
1972:Q2,1669363,540105,324324,158564,596705,411260,358194,174359,160530,55827
1972:Q3,1708016,553151,333264,162799,613216,420540,364207,177442,164566,56159
