1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1956:Q2,3.541899299507953,10.66034027256825,12.55637025194333,7.776830913185058,10.8545283466094,10.32641286225765,-6.207219721185547,9.368256251851225,10.96374889478338,6.346845171687121
1956:Q3,4.603504216913995,8.272776219028923,11.12227662440401,6.539044940710149,8.757980713421585,7.902474327047558,-1.047160469692269,8.467533541438407,7.707018550392045,1.854789505796217
1956:Q4,5.413824357405404,9.945169528870775,10.82554112103845,5.945825231084313,7.549338953822571,8.794790912226205,0.599948015867943,7.968095228455168,11.27632628172053,5.587270739706061
1957:Q1,6.033915061679908,9.201347817469198,10.06228163451314,6.859167024474024,8.290684397877628,10.07150154610385,2.101778853722148,7.875984994343106,2.427007299270073,7.738380450407282
1957:Q2,2.864972793265088,9.056945757388728,8.080688340297741,6.388940189430915,9.785755645628257,10.61649799603759,-7.03082014948746,8.619313647246608,13.13200018138122,4.230565838180857
1957:Q3,5.956287003252933,6.822453039484421,8.079477893758352,6.172159840450395,7.067709738332884,6.70254359264119,3.880734616859311,9.138719512195122,19.75677218246476,3.000174428745857
1957:Q4,3.233594532958998,5.198535564539269,7.646165527714503,2.77219417634633,6.475433115592161,6.39469134149408,-1.933669833982583,10.13431695821457,17.32072629905447,15.00461680517082
1958:Q1,4.745542708427744,3.830342577487765,7.536275075902919,-2.566186480281203,5.979752810384449,6.586293597153777,3.330475047161722,9.934773524228275,6.239724104743955,9.789743019245744
1958:Q2,6.34378835058064,4.985626295432878,7.261625090267558,-2.263745814268551,5.081478671129687,3.562880709884755,7.354304326011345,9.885473176612416,17.10495143330964,10.05538060592898
1958:Q3,3.990020618491772,7.375638745172234,9.340743201386207,1.606186181863053,6.615385545007946,5.137311941540559,-1.534825849874325,9.273356401384083,-30.97428906812072,9.003760394046925
1958:Q4,9.425129755914286,11.13069145852061,11.20508141493543,5.491629924364627,9.308684539023956,8.518057642388325,8.025583958891305,10.34156239431857,21.44147102282055,11.22966953278773
1959:Q1,6.799541244579695,10.68852531726275,11.0704319106992,13.25318246110325,6.111127247378664,3.802867882454829,3.725952649009344,9.520512947304224,5.516166731593299,2.37807335751713
1959:Q2,8.651788752944189,12.00200366438352,10.701885538666,13.25842586752331,11.63711245852877,9.697776563518756,3.668768650184619,9.968927599697325,35.85920688595143,7.352499248722828
1959:Q3,7.943205647185753,12.30016492866639,11.08243043137001,15.40762335658643,7.375914903549575,4.957445698353053,4.279248388424085,10.76326165156061,25.81373205910357,6.039443269561796
1959:Q4,6.54870074217123,11.84291383212742,9.915558636334993,17.16210119533169,7.891836445181637,7.732772165378858,1.01218937839758,8.088842659161134,28.31682512339749,0.852713178294574
1960:Q1,4.329323914380874,7.182858413859576,9.125358380925295,5.991645255448937,7.974573822594626,7.677483051078084,-1.882315470976989,8.852105073767543,8.872664274223487,7.426029781473603
