"CAINC4 Personal Income and Employment by Major Component"
"" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","LineCode","Description","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"37031","Carteret, NC","70","Proprietors' income 9/",190016,166652,159066,149311,189338,175594,181013,181446,181032,186578,208498,210362,221423
"37031","Carteret, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37031","Carteret, NC","7010","Total employment",35136,35073,34883,33569,32911,32792,33408,33603,34303,34591,35774,36034,36386
"37031","Carteret, NC","7020","  Wage and salary employment",25561,25321,25337,24059,23672,23330,23946,24060,24443,24758,25050,25549,25613
"37031","Carteret, NC","7040","  Proprietors employment",9575,9752,9546,9510,9239,9462,9462,9543,9860,9833,10724,10485,10773
"37033","Caswell, NC","70","Proprietors' income 9/",27873,26210,34102,36539,41175,32078,45437,55855,68284,63578,55804,63792,55734
"37033","Caswell, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37033","Caswell, NC","7010","Total employment",5357,5507,5475,5475,5490,5592,5312,5356,5311,5271,5555,5539,5655
"37033","Caswell, NC","7020","  Wage and salary employment",3581,3595,3577,3584,3573,3620,3409,3433,3387,3396,3377,3358,3427
"37033","Caswell, NC","7040","  Proprietors employment",1776,1912,1898,1891,1917,1972,1903,1923,1924,1875,2178,2181,2228
"37035","Catawba, NC","70","Proprietors' income 9/",394954,388640,412608,391249,453650,392807,461665,464769,498460,473417,462331,490849,504284
"37035","Catawba, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37035","Catawba, NC","7010","Total employment",109784,111321,108503,100446,99400,101900,102678,103298,104814,106949,109363,111681,113595
"37035","Catawba, NC","7020","  Wage and salary employment",92853,93014,90096,81998,81477,83368,84336,85003,85979,88055,90413,92539,93937
"37035","Catawba, NC","7040","  Proprietors employment",16931,18307,18407,18448,17923,18532,18342,18295,18835,18894,18950,19142,19658
"37037","Chatham, NC","70","Proprietors' income 9/",185996,191202,167003,169979,205616,159573,210869,200236,188920,192002,192097,205378,201812
"37037","Chatham, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37037","Chatham, NC","7010","Total employment",25337,25339,24883,23616,23233,22984,22662,23399,23886,23925,24921,27317,27816
"37037","Chatham, NC","7020","  Wage and salary employment",18438,17914,17414,15996,15591,15240,14957,15416,15595,15585,15682,15983,16213
"37037","Chatham, NC","7040","  Proprietors employment",6899,7425,7469,7620,7642,7744,7705,7983,8291,8340,9239,11334,11603
"37039","Cherokee, NC","70","Proprietors' income 9/",68114,63771,60060,53282,59504,56102,58489,60079,68046,71062,63607,63570,64497
"37039","Cherokee, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37039","Cherokee, NC","7010","Total employment",13079,13081,12856,12231,11815,11938,11756,11781,11958,12062,11963,12011,12216
"37039","Cherokee, NC","7020","  Wage and salary employment",9104,9026,9048,8524,8316,8360,8292,8317,8420,8521,8547,8557,8676
"37039","Cherokee, NC","7040","  Proprietors employment",3975,4055,3808,3707,3499,3578,3464,3464,3538,3541,3416,3454,3540
"37041","Chowan, NC","70","Proprietors' income 9/",44775,31577,22376,26133,23707,31755,40295,33348,17351,17169,18903,27004,27101
"37041","Chowan, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37041","Chowan, NC","7010","Total employment",7821,7854,7467,7053,6820,6598,6673,6628,6711,6766,6698,6801,6965
"37041","Chowan, NC","7020","  Wage and salary employment",6225,6108,5738,5350,5192,5010,5057,4951,5039,5089,5055,5089,5207
"37041","Chowan, NC","7040","  Proprietors employment",1596,1746,1729,1703,1628,1588,1616,1677,1672,1677,1643,1712,1758
"37043","Clay, NC","70","Proprietors' income 9/",32874,23753,18251,12264,16724,11896,10896,13522,15118,15370,14676,16850,16737
"37043","Clay, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37043","Clay, NC","7010","Total employment",4100,4323,4113,3827,3804,3843,3833,3854,3911,3798,3811,3756,3924
"37043","Clay, NC","7020","  Wage and salary employment",2218,2386,2245,2029,2030,1989,2110,2080,2136,2086,2096,2009,2129
"37043","Clay, NC","7040","  Proprietors employment",1882,1937,1868,1798,1774,1854,1723,1774,1775,1712,1715,1747,1795
"37045","Cleveland, NC","70","Proprietors' income 9/",141453,142633,123448,125435,175035,139879,176964,168629,175842,175028,163785,183982,189511
"37045","Cleveland, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
